# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -229.30000000 ps, Average over 300 waveforms. Timestamp: 2023-05-26T11:38:01
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-229.30000000	0.00000000
-229.26666667	-0.00000010
-229.23333333	-0.00000038
-229.20000000	-0.00000068
-229.16666667	-0.00000111
-229.13333333	-0.00000113
-229.10000000	-0.00000139
-229.06666667	-0.00000144
-229.03333333	0.00000046
-229.00000000	0.00000090
-228.96666666	0.00000098
-228.93333333	0.00000265
-228.90000000	0.00000295
-228.86666666	0.00000830
-228.83333333	0.00000786
-228.80000000	0.00001002
-228.76666666	0.00001132
-228.73333333	0.00001535
-228.70000000	0.00000817
-228.66666666	0.00002283
-228.63333333	0.00001500
-228.60000000	0.00002101
-228.56666666	0.00001522
-228.53333333	0.00001410
-228.50000000	0.00001421
-228.46666666	0.00000841
-228.43333333	0.00000988
-228.40000000	-0.00000683
-228.36666666	0.00000162
-228.33333333	-0.00001680
-228.30000000	-0.00001898
-228.26666666	-0.00004610
-228.23333333	-0.00006027
-228.19999999	-0.00007309
-228.16666666	-0.00008694
-228.13333333	-0.00009866
-228.09999999	-0.00011829
-228.06666666	-0.00014009
-228.03333333	-0.00016722
-227.99999999	-0.00018046
-227.96666666	-0.00019167
-227.93333333	-0.00021578
-227.89999999	-0.00024240
-227.86666666	-0.00026681
-227.83333333	-0.00028361
-227.79999999	-0.00031082
-227.76666666	-0.00034475
-227.73333333	-0.00033128
-227.69999999	-0.00039895
-227.66666666	-0.00044199
-227.63333333	-0.00046766
-227.59999999	-0.00045236
-227.56666666	-0.00051111
-227.53333333	-0.00052958
-227.49999999	-0.00056867
-227.46666666	-0.00057582
-227.43333333	-0.00063626
-227.39999999	-0.00065508
-227.36666666	-0.00068706
-227.33333332	-0.00079237
-227.29999999	-0.00081609
-227.26666666	-0.00083892
-227.23333332	-0.00087970
-227.19999999	-0.00087686
-227.16666666	-0.00092427
-227.13333332	-0.00094952
-227.09999999	-0.00096318
-227.06666666	-0.00106013
-227.03333332	-0.00109295
-226.99999999	-0.00107297
-226.96666666	-0.00115954
-226.93333332	-0.00116677
-226.89999999	-0.00123295
-226.86666666	-0.00120579
-226.83333332	-0.00126335
-226.79999999	-0.00132815
-226.76666666	-0.00133702
-226.73333332	-0.00141132
-226.69999999	-0.00143751
-226.66666666	-0.00142631
-226.63333332	-0.00141841
-226.59999999	-0.00140746
-226.56666666	-0.00145135
-226.53333332	-0.00152453
