# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -229.30000000 ps, Average over 300 waveforms. Timestamp: 2023-05-26T11:38:01
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-22.22984030
0.00732601	-33.10865765
0.01465201	-24.13583944
0.02197802	-24.64289843
0.02930403	-29.55448404
0.03663004	-30.57237027
0.04395604	-18.59645946
0.05128205	-17.72760772
0.05860806	-32.42169416
0.06593407	-33.19161913
0.07326007	-15.14010730
0.08058608	-15.53942992
0.08791209	-19.88211330
0.09523809	-12.62992081
0.10256410	-12.33599037
0.10989011	-19.53066435
0.11721612	-9.46467953
0.12454212	-10.24601520
0.13186813	-9.56580032
0.13919414	-11.78832873
0.14652015	-8.05548470
0.15384615	-8.20929264
0.16117216	-8.83218903
0.16849817	-6.70904431
0.17582418	-5.89968859
0.18315018	-6.46162658
0.19047619	-7.06969865
0.19780220	-4.70716849
0.20512820	-4.22410429
0.21245421	-6.08734460
0.21978022	-5.34624337
0.22710623	-2.85015909
0.23443223	-2.97823058
0.24175824	-5.42669962
0.24908425	-2.64379167
0.25641026	-1.75630257
0.26373626	-3.02706794
0.27106227	-3.34948125
0.27838828	-1.03598216
0.28571428	-2.29889774
0.29304029	-2.34115815
0.30036630	-1.53630097
0.30769231	-1.23388252
0.31501831	-1.96695118
0.32234432	-1.63212396
0.32967033	-0.85809770
0.33699634	-1.06537568
0.34432234	-1.32955664
0.35164835	-0.64210955
0.35897436	-0.22351002
0.36630036	-0.92870148
0.37362637	-0.50936281
0.38095238	-0.26418859
0.38827839	-0.08847576
0.39560439	-0.15809581
0.40293040	0.00000000
0.41025641	-0.02194504
0.41758242	-0.13445822
0.42490842	-0.11550178
0.43223443	-0.26646150
0.43956044	-0.41843465
0.44688645	-0.23487666
0.45421245	-0.12712502
0.46153846	-0.39109612
0.46886447	-0.17735755
0.47619047	-0.35451018
0.48351648	-0.19734556
0.49084249	-0.33815875
0.49816850	-0.17288479
0.50549450	-0.30126714
0.51282051	-0.30479745
0.52014652	-0.05136843
0.52747253	-0.71255136
0.53479853	-0.51968345
0.54212454	-0.43494370
0.54945055	-1.49769588
0.55677655	-4.80110514
0.56410256	-2.29823387
0.57142857	-1.73535132
0.57875458	-0.99875083
0.58608058	-1.95449066
0.59340659	-1.59455057
0.60073260	-1.22931030
0.60805861	-2.25600522
0.61538461	-1.64796614
0.62271062	-1.77162115
0.63003663	-2.13981997
0.63736263	-1.72533118
0.64468864	-1.95587752
0.65201465	-2.06895669
0.65934066	-1.76062995
0.66666666	-2.38479140
0.67399267	-2.19405869
0.68131868	-2.21491883
0.68864469	-2.98711849
0.69597069	-2.42922084
0.70329670	-2.99116502
0.71062271	-3.57143259
0.71794872	-2.88788410
0.72527472	-4.24885616
0.73260073	-3.61886951
0.73992674	-4.25819098
0.74725274	-5.39623712
0.75457875	-6.64715141
0.76190476	-5.01387748
0.76923077	-4.66545434
0.77655677	-4.53127610
0.78388278	-5.08522250
0.79120879	-4.68873469
0.79853480	-5.12073827
0.80586080	-5.23233546
0.81318681	-5.30276968
0.82051282	-5.92030801
0.82783882	-5.56753893
0.83516483	-6.40641796
0.84249084	-6.08096933
0.84981685	-6.52739801
0.85714285	-6.81326540
0.86446886	-6.58663475
0.87179487	-7.34859094
0.87912088	-6.73239489
0.88644688	-7.44390462
0.89377289	-7.17644612
0.90109890	-7.13916032
0.90842490	-7.67541743
0.91575091	-7.34410913
0.92307692	-7.79074502
0.93040293	-7.84241652
0.93772893	-7.73683804
0.94505494	-8.28669126
0.95238095	-8.14374466
0.95970696	-8.50872987
0.96703296	-8.81734290
0.97435897	-9.11590331
0.98168498	-9.45896555
0.98901099	-11.58114752
0.99633699	-9.79352450
1.00366300	-9.81954196
1.01098901	-9.88557045
1.01831501	-9.66106881
