# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -229.30000000 ps, Average over 300 waveforms. Timestamp: 2023-05-26T11:49:01
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-229.30000000	0.00000000
-229.26666667	0.00000003
-229.23333333	0.00000011
-229.20000000	0.00000039
-229.16666667	0.00000072
-229.13333333	0.00000087
-229.10000000	0.00000098
-229.06666667	0.00000184
-229.03333334	0.00000149
-229.00000000	0.00000053
-228.96666667	0.00000170
-228.93333334	0.00000393
-228.90000000	0.00000077
-228.86666667	0.00000416
-228.83333334	-0.00000050
-228.80000000	-0.00000153
-228.76666667	0.00000118
-228.73333334	-0.00000625
-228.70000001	-0.00000704
-228.66666667	-0.00000622
-228.63333334	-0.00000958
-228.60000001	-0.00000585
-228.56666667	-0.00001551
-228.53333334	-0.00000982
-228.50000001	-0.00002954
-228.46666667	-0.00002413
-228.43333334	-0.00002614
-228.40000001	-0.00003749
-228.36666667	-0.00003551
-228.33333334	-0.00003232
-228.30000001	-0.00004874
-228.26666668	-0.00007239
-228.23333334	-0.00006870
-228.20000001	-0.00005405
-228.16666668	-0.00005947
-228.13333334	-0.00006642
-228.10000001	-0.00007693
-228.06666668	-0.00005522
-228.03333334	-0.00008723
-228.00000001	-0.00008473
-227.96666668	-0.00007892
-227.93333335	-0.00006493
-227.90000001	-0.00008961
-227.86666668	-0.00008054
-227.83333335	-0.00010361
-227.80000001	-0.00006152
-227.76666668	-0.00009052
-227.73333335	-0.00007931
-227.70000001	-0.00004665
-227.66666668	-0.00006761
-227.63333335	-0.00003851
-227.60000002	-0.00003473
-227.56666668	-0.00001238
-227.53333335	-0.00001298
-227.50000002	-0.00000359
-227.46666668	0.00000546
-227.43333335	0.00005400
-227.40000002	0.00002287
-227.36666668	0.00006081
-227.33333335	0.00009801
-227.30000002	0.00010611
-227.26666668	0.00004886
-227.23333335	0.00012511
-227.20000002	0.00012848
-227.16666669	0.00024526
-227.13333335	0.00016920
-227.10000002	0.00018749
-227.06666669	0.00016014
-227.03333335	0.00017628
-227.00000002	0.00015017
-226.96666669	0.00017590
-226.93333335	0.00023779
-226.90000002	0.00020913
-226.86666669	0.00011031
-226.83333336	0.00021743
-226.80000002	0.00023389
-226.76666669	0.00017212
