# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -229.30000000 ps, Average over 300 waveforms. Timestamp: 2023-05-26T11:49:01
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-44.86951035
0.00732601	-38.94955072
0.01465201	-34.75693627
0.02197802	-25.99184889
0.02930403	-28.47867389
0.03663004	-28.72127564
0.04395604	-22.29313989
0.05128205	-24.40733867
0.05860806	-37.44182624
0.06593407	-31.68068649
0.07326007	-18.66143793
0.08058608	-19.41103077
0.08791209	-24.70204970
0.09523810	-15.58249521
0.10256410	-16.49998112
0.10989011	-22.67512817
0.11721612	-13.78575259
0.12454213	-13.82931173
0.13186813	-13.71480561
0.13919414	-15.30527165
0.14652015	-11.44015514
0.15384616	-11.01657030
0.16117216	-11.73035585
0.16849817	-9.41092977
0.17582418	-8.41522865
0.18315018	-9.47827086
0.19047619	-9.96895525
0.19780220	-8.02556320
0.20512821	-7.38298383
0.21245421	-9.58898071
0.21978022	-8.34977140
0.22710623	-5.76094408
0.23443224	-5.38106433
0.24175824	-7.64345630
0.24908425	-4.59815694
0.25641026	-3.55300328
0.26373627	-5.01082148
0.27106227	-5.44432679
0.27838828	-3.55211565
0.28571429	-4.80641239
0.29304030	-5.12808231
0.30036630	-4.08689954
0.30769231	-3.69278755
0.31501832	-3.95917986
0.32234433	-3.27271620
0.32967033	-2.16891205
0.33699634	-2.07186199
0.34432235	-2.46800130
0.35164835	-1.89658517
0.35897436	-1.90894687
0.36630037	-2.79544631
0.37362638	-2.67577848
0.38095238	-2.37940471
0.38827839	-2.03693994
0.39560440	-1.74950528
0.40293041	-1.11372180
0.41025641	-0.73230475
0.41758242	-0.49808627
0.42490843	-0.46136402
0.43223444	-0.83431922
0.43956044	-1.38253632
0.44688645	-1.57824669
0.45421246	-1.72510379
0.46153847	-2.13791656
0.46886447	-1.79748484
0.47619048	-1.61901612
0.48351649	-1.05122040
0.49084250	-0.57561402
0.49816850	-0.05698086
0.50549451	0.00000000
0.51282052	-0.26615901
0.52014652	-0.38991032
0.52747253	-1.58351430
0.53479854	-1.74765357
0.54212455	-1.82985188
0.54945055	-2.87860087
0.55677656	-5.84893564
0.56410257	-2.99460919
0.57142858	-1.68093258
0.57875458	-0.58922221
0.58608059	-1.16411668
0.59340660	-1.07445593
0.60073261	-1.12552729
0.60805861	-2.68857299
0.61538462	-2.65973223
0.62271063	-2.88610475
0.63003664	-3.45588880
0.63736264	-2.62020967
0.64468865	-2.45549730
0.65201466	-1.85807904
0.65934067	-0.96307740
0.66666667	-1.24706003
0.67399268	-1.06318113
0.68131869	-1.68552618
0.68864469	-2.96343297
0.69597070	-3.07482976
0.70329671	-3.94368205
0.71062272	-4.69256271
0.71794872	-3.78457386
0.72527473	-4.67975700
0.73260074	-3.45537132
0.73992675	-3.26832464
0.74725275	-4.11341543
0.75457876	-5.19400924
0.76190477	-4.16237839
0.76923078	-4.44481797
0.77655678	-4.95956690
0.78388279	-6.01901109
0.79120880	-5.69624770
0.79853481	-6.06270554
0.80586081	-5.65823875
0.81318682	-5.14811468
0.82051283	-4.91217042
0.82783884	-4.10098973
0.83516484	-4.80125169
0.84249085	-4.95553854
0.84981686	-6.18450104
0.85714287	-7.13072042
0.86446887	-7.52509344
0.87179488	-8.44448871
0.87912089	-7.80234261
0.88644689	-8.06207732
0.89377290	-7.10679927
0.90109891	-6.21806682
0.90842492	-6.03866331
0.91575092	-5.52390391
0.92307693	-6.32594742
0.93040294	-7.21261208
0.93772895	-7.83403307
0.94505495	-9.05660842
0.95238096	-9.19532957
0.95970697	-9.62090574
0.96703298	-9.53895493
0.97435898	-9.20339638
0.98168499	-8.67430827
0.98901100	-10.02504115
0.99633701	-7.92852975
1.00366301	-8.19635309
1.01098902	-9.10209252
1.01831503	-9.58702979
1.02564104	-11.03493711
1.03296704	-10.87528753
1.04029305	-11.23624594
1.04761906	-11.25644163
1.05494506	-10.15072808
1.06227107	-10.12117890
1.06959708	-9.02183295
1.07692309	-8.84233826
1.08424909	-10.24968570
1.09157510	-12.39989103
1.09890111	-33.47453401
1.10622712	-15.42503408
1.11355312	-17.32945018
1.12087913	-15.58474750
1.12820514	-12.96653304
1.13553115	-13.83786574
1.14285715	-12.10063417
1.15018316	-12.84762543
1.15750917	-15.94147145
1.16483518	-28.59992997
1.17216118	-14.62063289
1.17948719	-13.07903854
1.18681320	-13.82952330
1.19413921	-14.84973203
1.20146521	-14.91605032
1.20879122	-20.19876316
1.21611723	-15.09178141
1.22344323	-14.84504356
1.23076924	-16.81736047
1.23809525	-12.94950464
1.24542126	-12.70032230
1.25274726	-13.02959578
1.26007327	-14.33870138
1.26739928	-14.95893695
1.27472529	-15.97589213
1.28205129	-16.17713994
1.28937730	-16.22461922
1.29670331	-15.92010170
1.30402932	-14.81212506
1.31135532	-14.20724429
1.31868133	-13.43200385
1.32600734	-13.78647939
1.33333335	-14.33847901
1.34065935	-15.42125155
1.34798536	-16.83746579
1.35531137	-17.36013219
1.36263738	-18.25562604
1.36996338	-18.24047992
1.37728939	-18.00058905
1.38461540	-17.61520727
1.39194140	-16.52807472
1.39926741	-16.19947049
1.40659342	-18.64922583
1.41391943	-29.02601893
1.42124543	-18.62892391
1.42857144	-18.29796635
1.43589745	-19.73730958
1.44322346	-19.30230879
1.45054946	-20.28123653
1.45787547	-19.59837704
1.46520148	-19.06375174
1.47252749	-18.75294777
1.47985349	-17.10629133
1.48717950	-17.54502640
1.49450551	-17.70424032
1.50183152	-18.90232491
1.50915752	-20.61632746
1.51648353	-20.73914322
1.52380954	-22.35278242
1.53113555	-21.78796072
1.53846155	-22.21145221
1.54578756	-21.61019278
1.55311357	-20.23887147
1.56043957	-19.86553785
1.56776558	-18.91198348
1.57509159	-19.49976721
1.58241760	-20.83066322
1.58974360	-22.15046747
1.59706961	-24.20208516
1.60439562	-30.29879838
1.61172163	-25.54251367
1.61904763	-25.03365308
1.62637364	-24.31259120
1.63369965	-23.97922556
1.64102566	-23.08819627
1.64835166	-23.10068048
1.65567767	-26.58718995
1.66300368	-41.79371308
1.67032969	-45.89293019
1.67765569	-37.01053503
1.68498170	-29.58476405
1.69230771	-28.39057086
1.69963372	-28.68039425
1.70695972	-29.27532700
1.71428573	-38.98747129
1.72161174	-42.28202625
1.72893774	-28.25489164
1.73626375	-25.11988201
1.74358976	-26.08537129
1.75091577	-26.91203362
1.75824177	-28.91560943
1.76556778	-31.61426914
1.77289379	-29.87031091
1.78021980	-30.20066434
1.78754580	-29.96993201
1.79487181	-33.36402846
1.80219782	-32.14115383
1.80952383	-27.41971450
1.81684983	-27.00325176
1.82417584	-27.59520713
1.83150185	-28.90942698
1.83882786	-30.24833388
1.84615386	-31.08186049
1.85347987	-32.17484554
1.86080588	-33.16426932
1.86813189	-42.55405277
1.87545789	-35.40159641
1.88278390	-30.71516207
1.89010991	-29.78628032
1.89743591	-29.26452953
1.90476192	-30.11364126
1.91208793	-31.89322925
1.91941394	-40.44752735
1.92673994	-36.90345533
1.93406595	-34.33358325
1.94139196	-34.38953262
1.94871797	-34.08676027
1.95604397	-33.43030751
1.96336998	-32.54345794
1.97069599	-31.42702647
1.97802200	-30.92063104
1.98534800	-31.66157889
1.99267401	-33.08309299
2.00000002	-34.45088759
2.00732603	-35.33684764
2.01465203	-36.55930438
2.02197804	-36.96386930
2.02930405	-36.73969422
2.03663006	-37.42271319
2.04395606	-41.72702708
2.05128207	-34.53835793
2.05860808	-33.76743899
2.06593408	-33.84153691
2.07326009	-37.46378143
2.08058610	-39.12773687
2.08791211	-37.57699668
2.09523811	-38.42726188
2.10256412	-38.62632644
2.10989013	-38.68896114
2.11721614	-38.09925538
2.12454214	-37.53111594
2.13186815	-36.37902410
2.13919416	-35.95510249
2.14652017	-36.81452074
2.15384617	-38.58297204
2.16117218	-45.09850149
2.16849819	-57.99311798
2.17582420	-44.84577513
2.18315020	-42.97034793
2.19047621	-44.51980238
2.19780222	-58.43458671
2.20512823	-45.73547747
2.21245423	-41.54156914
2.21978024	-45.53751550
2.22710625	-50.53065707
2.23443225	-41.20081108
2.24175826	-42.10368873
2.24908427	-43.25507312
2.25641028	-45.51642094
2.26373628	-55.74437509
2.27106229	-54.15695696
2.27838830	-45.47896361
2.28571431	-43.58968283
2.29304031	-42.48271641
2.30036632	-41.78345342
2.30769233	-41.96191049
2.31501834	-43.24831503
2.32234434	-45.10442992
2.32967035	-46.13838837
2.33699636	-46.74126654
2.34432237	-52.06129722
2.35164837	-51.62561409
2.35897438	-48.24916903
2.36630039	-52.06279051
2.37362640	-50.43875683
2.38095240	-46.39251956
2.38827841	-51.08605800
2.39560442	-64.73072214
2.40293042	-51.16392546
2.41025643	-49.11987693
2.41758244	-50.19699014
2.42490845	-50.42507228
2.43223445	-51.14967911
2.43956046	-50.63770427
2.44688647	-51.28274734
2.45421248	-51.42262661
2.46153848	-56.10142652
2.46886449	-61.32577310
2.47619050	-51.05704447
2.48351651	-50.42054161
2.49084251	-51.97761109
