# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -229.30000000 ps, Average over 300 waveforms. Timestamp: 2023-05-26T11:40:20
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-229.30000000	0.00000000
-229.26666666	-0.00000012
-229.23333333	-0.00000040
-229.20000000	-0.00000088
-229.16666666	-0.00000157
-229.13333333	-0.00000248
-229.10000000	-0.00000295
-229.06666666	-0.00000492
-229.03333333	-0.00000473
-229.00000000	-0.00000582
-228.96666667	-0.00000460
-228.93333333	-0.00000546
-228.90000000	-0.00000640
-228.86666667	-0.00000215
-228.83333333	-0.00000233
-228.80000000	0.00000307
-228.76666667	0.00000290
-228.73333333	0.00000748
-228.70000000	0.00001328
-228.66666667	0.00001953
-228.63333334	0.00002176
-228.60000000	0.00003010
-228.56666667	0.00003452
-228.53333334	0.00003521
-228.50000000	0.00005940
-228.46666667	0.00007163
-228.43333334	0.00007266
-228.40000000	0.00008563
-228.36666667	0.00010002
-228.33333334	0.00011190
-228.30000001	0.00010973
-228.26666667	0.00012861
-228.23333334	0.00014532
-228.20000001	0.00016397
-228.16666667	0.00018303
-228.13333334	0.00017139
-228.10000001	0.00019272
-228.06666667	0.00019711
-228.03333334	0.00022861
-228.00000001	0.00023090
-227.96666667	0.00023475
-227.93333334	0.00023355
-227.90000001	0.00024990
-227.86666668	0.00024464
-227.83333334	0.00025118
-227.80000001	0.00025001
-227.76666668	0.00024559
-227.73333334	0.00022662
-227.70000001	0.00026028
-227.66666668	0.00023022
-227.63333334	0.00021756
-227.60000001	0.00018509
-227.56666668	0.00015359
-227.53333335	0.00020469
-227.50000001	0.00017126
-227.46666668	0.00011659
-227.43333335	0.00014293
-227.40000001	0.00015487
-227.36666668	0.00006193
-227.33333335	0.00007850
-227.30000001	0.00004897
-227.26666668	0.00002288
-227.23333335	-0.00003488
-227.20000001	-0.00002750
-227.16666668	-0.00004815
-227.13333335	-0.00013584
-227.10000002	-0.00007180
-227.06666668	-0.00015881
-227.03333335	-0.00021458
-227.00000002	-0.00025163
-226.96666668	-0.00022872
-226.93333335	-0.00026895
-226.90000002	-0.00029986
-226.86666668	-0.00035403
-226.83333335	-0.00034277
-226.80000002	-0.00035138
-226.76666669	-0.00026281
-226.73333335	-0.00029736
-226.70000002	-0.00027807
-226.66666669	-0.00017232
-226.63333335	-0.00015080
-226.60000002	-0.00022761
-226.56666669	-0.00003198
-226.53333335	-0.00016933
-226.50000002	-0.00000036
-226.46666669	0.00011244
-226.43333336	0.00010647
-226.40000002	0.00025592
-226.36666669	0.00033294
-226.33333336	0.00037758
-226.30000002	0.00047374
-226.26666669	0.00061557
-226.23333336	0.00070391
-226.20000002	0.00086061
-226.16666669	0.00090531
-226.13333336	0.00101462
