# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -229.30000000 ps, Average over 300 waveforms. Timestamp: 2023-05-26T11:40:20
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-67.50925281
0.00732601	-35.84909348
0.01465201	-27.89564279
0.02197802	-24.32672411
0.02930403	-27.35158470
0.03663004	-26.88733097
0.04395604	-18.55259066
0.05128205	-18.13578282
0.05860806	-31.92401371
0.06593407	-29.60740721
0.07326007	-16.01131103
0.08058608	-16.02174758
0.08791209	-21.44546457
0.09523810	-12.44043126
0.10256410	-12.70087252
0.10989011	-18.79696109
0.11721612	-10.02727491
0.12454213	-10.59566374
0.13186813	-10.24071805
0.13919414	-12.06616579
0.14652015	-8.27197153
0.15384616	-8.16584920
0.16117216	-8.89676932
0.16849817	-7.11283712
0.17582418	-6.24189366
0.18315018	-7.05250349
0.19047619	-7.33697637
0.19780220	-4.94384276
0.20512821	-4.19009928
0.21245421	-6.24259395
0.21978022	-5.61753778
0.22710623	-3.40981540
0.23443224	-3.40782482
0.24175824	-5.84749378
0.24908425	-2.86252021
0.25641026	-1.80034376
0.26373627	-3.24616989
0.27106227	-3.74427411
0.27838828	-1.69148276
0.28571429	-2.84733697
0.29304030	-2.93908392
0.30036630	-1.79974722
0.30769231	-1.48815803
0.31501832	-2.23378370
0.32234433	-2.18261482
0.32967033	-1.61710953
0.33699634	-1.77034718
0.34432235	-2.03165310
0.35164835	-1.05130461
0.35897436	-0.57859115
0.36630037	-1.32739957
0.37362638	-1.18547591
0.38095238	-1.08762662
0.38827839	-0.94771030
0.39560440	-0.94975201
0.40293041	-0.50566108
0.41025641	-0.51413644
0.41758242	-0.67669881
0.42490843	-0.88457711
0.43223444	-1.23431149
0.43956044	-1.44177153
0.44688645	-1.15477217
0.45421246	-0.80589223
0.46153847	-1.07380835
0.46886447	-0.89149515
0.47619048	-1.28095966
0.48351649	-1.38253749
0.49084250	-1.50941735
0.49816850	-1.28816907
0.50549451	-1.24279117
0.51282052	-1.19621776
0.52014652	-0.96607294
0.52747253	-1.89282972
0.53479854	-1.87406049
0.54212455	-1.84130215
0.54945055	-2.84098547
0.55677656	-5.93653245
0.56410257	-3.52045585
0.57142858	-2.87102946
0.57875458	-2.51603701
0.58608059	-3.56450603
0.59340660	-3.32260757
0.60073261	-2.90385600
0.60805861	-3.71570066
0.61538462	-3.15787482
0.62271063	-3.14336721
0.63003664	-3.92185123
0.63736264	-3.50280124
0.64468865	-3.87686249
0.65201466	-3.84998554
0.65934067	-3.43094753
0.66666667	-4.00231143
0.67399268	-3.74323286
0.68131869	-4.14234606
0.68864469	-4.92262162
0.69597070	-4.54371101
0.70329671	-5.05633997
0.71062272	-5.55410019
0.71794872	-4.84783092
0.72527473	-6.28143109
0.73260074	-5.91422933
0.73992675	-6.64162786
0.74725275	-7.98284827
0.75457876	-9.07338842
0.76190477	-7.40765072
0.76923078	-6.93717791
0.77655678	-6.88117449
0.78388279	-7.65392208
0.79120880	-7.37198832
0.79853481	-7.91764238
0.80586081	-7.96299403
0.81318682	-8.01254034
0.82051283	-8.54579445
0.82783884	-8.43388291
0.83516484	-9.44792690
0.84249085	-9.28858035
0.84981686	-9.92821965
0.85714286	-10.06751421
0.86446887	-9.92135562
0.87179488	-10.58710317
0.87912089	-10.08614428
0.88644689	-10.93448990
0.89377290	-10.71001694
0.90109891	-10.74725526
0.90842492	-11.17364311
0.91575092	-10.83495731
0.92307693	-11.17318622
0.93040294	-11.38054642
0.93772895	-11.27897041
0.94505495	-12.04667400
0.95238096	-11.97701400
0.95970697	-12.38343699
0.96703298	-12.68887791
0.97435898	-12.93557665
0.98168499	-13.34320657
0.98901100	-15.65159026
0.99633701	-13.88460177
1.00366301	-14.06122981
1.01098902	-13.94658486
1.01831503	-13.57641773
1.02564103	-14.26989859
1.03296704	-13.70352980
1.04029305	-14.19480334
1.04761906	-14.56175368
1.05494506	-14.17638568
1.06227107	-15.01709711
1.06959708	-14.79740886
1.07692309	-15.06370454
1.08424909	-16.47548861
1.09157510	-17.82557036
1.09890111	-39.65690095
1.10622712	-19.32891209
1.11355312	-20.82910553
1.12087913	-18.86938543
1.12820514	-16.52425631
1.13553115	-18.03734083
1.14285715	-17.18338048
1.15018316	-18.91965138
1.15750917	-22.70514521
1.16483518	-35.99222694
1.17216118	-20.30374689
1.17948719	-17.99391918
1.18681320	-17.85305083
1.19413920	-18.50378187
1.20146521	-18.52999521
1.20879122	-24.07736650
1.21611723	-19.57586526
1.22344323	-20.16854022
1.23076924	-23.24357783
1.23809525	-19.98610592
1.24542126	-20.03856671
1.25274726	-19.57479329
1.26007327	-19.92173288
1.26739928	-19.58509973
1.27472529	-19.98405705
1.28205129	-19.85622242
1.28937730	-20.12786953
1.29670331	-20.29616505
1.30402932	-20.02767393
1.31135532	-20.63063090
1.31868133	-20.59314334
1.32600734	-21.39846308
1.33333335	-21.32827327
1.34065935	-21.52951876
1.34798536	-21.91912457
1.35531137	-21.88183223
1.36263737	-22.43667937
1.36996338	-22.46962288
1.37728939	-22.63550929
1.38461540	-23.11480273
1.39194140	-22.88323941
1.39926741	-23.65592973
1.40659342	-26.37889648
1.41391943	-35.85923405
1.42124543	-24.94199817
1.42857144	-23.51639828
1.43589745	-24.37012119
1.44322346	-23.50802472
1.45054946	-24.68728405
1.45787547	-24.33456749
1.46520148	-24.71264523
1.47252749	-25.37199211
1.47985349	-24.84709915
1.48717950	-25.79298771
1.49450551	-25.65580018
1.50183152	-25.78951093
1.50915752	-26.33596456
1.51648353	-25.67254213
1.52380954	-26.83865125
1.53113554	-26.13023157
1.53846155	-27.03800761
1.54578756	-26.98185321
1.55311357	-26.67296574
1.56043957	-27.49828878
1.56776558	-27.20776541
1.57509159	-27.84898808
1.58241760	-28.23401208
1.58974360	-28.52055512
1.59706961	-29.60203980
1.60439562	-35.05071257
1.61172163	-30.21958418
1.61904763	-30.04740618
1.62637364	-29.91502540
1.63369965	-30.67327142
1.64102566	-30.79175742
1.64835166	-31.78798976
1.65567767	-35.19418084
1.66300368	-52.09743902
1.67032969	-54.16729291
1.67765569	-42.83058455
1.68498170	-34.57559410
1.69230771	-33.26062874
1.69963371	-33.64113574
1.70695972	-34.77661242
1.71428573	-45.74997946
1.72161174	-51.13877935
1.72893774	-36.75161992
1.73626375	-34.08470009
1.74358976	-33.94872846
1.75091577	-33.83044684
1.75824177	-34.38834903
1.76556778	-36.76702542
1.77289379	-34.59552383
1.78021980	-35.18721564
1.78754580	-35.39357925
1.79487181	-39.46703196
1.80219782	-39.66855853
1.80952383	-35.79781277
1.81684983	-35.81384880
1.82417584	-35.74591676
1.83150185	-36.00657460
1.83882786	-36.22739908
1.84615386	-36.38827138
1.85347987	-36.97314820
1.86080588	-37.93132671
1.86813188	-47.50470523
1.87545789	-41.70083747
1.88278390	-38.20842648
1.89010991	-38.35166650
1.89743591	-38.23982332
1.90476192	-38.48295881
1.91208793	-39.09482295
1.91941394	-46.11269230
1.92673994	-42.40148790
1.93406595	-39.31255122
1.94139196	-39.28510331
1.94871797	-39.48137574
1.95604397	-39.31685289
1.96336998	-39.60177530
1.97069599	-39.55009659
1.97802200	-40.00399534
1.98534800	-40.43948538
1.99267401	-40.78109559
2.00000002	-40.91246192
2.00732603	-40.86099921
2.01465203	-41.34746576
2.02197804	-41.81161685
2.02930405	-41.76126923
2.03663005	-43.24018573
2.04395606	-48.53088791
2.05128207	-42.73948487
2.05860808	-42.78868552
2.06593408	-42.47886718
2.07326009	-45.18586972
2.08058610	-45.56436314
2.08791211	-43.05679913
2.09523811	-43.28133597
2.10256412	-43.18920823
2.10989013	-43.37915129
2.11721614	-43.50336098
2.12454214	-43.86444301
2.13186815	-44.08027205
2.13919416	-44.90845037
2.14652017	-45.45254553
2.15384617	-46.35831459
2.16117218	-51.43014977
2.16849819	-64.37377325
2.17582420	-49.69820105
2.18315020	-47.28701995
2.19047621	-48.80585655
2.19780222	-61.08899038
2.20512822	-52.29073031
2.21245423	-48.28135816
2.21978024	-52.35578688
2.22710625	-60.77961446
2.23443225	-49.44314317
2.24175826	-48.72678179
2.24908427	-48.63459784
2.25641028	-49.94502947
2.26373628	-58.74444268
2.27106229	-60.32442980
2.27838830	-51.14505469
2.28571431	-49.60611933
2.29304031	-49.58613846
2.30036632	-49.72519732
2.30769233	-50.16776763
2.31501834	-50.51024867
2.32234434	-50.56580077
2.32967035	-50.60824812
2.33699636	-51.07818279
2.34432237	-56.11824138
2.35164837	-55.29214866
2.35897438	-51.97866799
2.36630039	-56.58778184
2.37362639	-56.63916919
2.38095240	-53.52252563
2.38827841	-58.44064178
2.39560442	-75.95949530
2.40293042	-57.78528726
2.41025643	-54.20677676
2.41758244	-54.00481740
2.42490845	-54.28863053
2.43223445	-55.16772605
2.43956046	-54.23813696
2.44688647	-55.20893528
2.45421248	-55.78721107
2.46153848	-61.48781232
2.46886449	-70.47925536
2.47619050	-58.17484408
2.48351651	-55.54232535
2.49084251	-55.74187307
2.49816852	-55.77450747
2.50549453	-55.47128302
2.51282054	-54.98652769
2.52014654	-55.28938581
2.52747255	-55.77629011
2.53479856	-56.26658005
2.54212456	-56.02221632
2.54945057	-55.99716876
2.55677658	-55.77962289
2.56410259	-56.37471051
2.57142859	-57.25421363
2.57875460	-56.64021703
2.58608061	-57.42600423
2.59340662	-57.06543364
2.60073262	-58.17437410
2.60805863	-57.79758843
2.61538464	-58.41704233
2.62271065	-59.85236235
2.63003665	-65.96703105
2.63736266	-90.53463430
2.64468867	-79.29512510
2.65201468	-72.88270969
2.65934068	-64.03540971
2.66666669	-64.65800515
2.67399270	-62.27066751
2.68131871	-61.69242191
2.68864471	-69.46740305
2.69597072	-62.09451343
2.70329673	-60.12330853
2.71062273	-59.58626102
2.71794874	-60.65147862
2.72527475	-60.03152913
2.73260076	-60.64317738
2.73992676	-60.37302021
2.74725277	-61.00597692
2.75457878	-60.63619540
2.76190479	-63.03377571
2.76923079	-70.95787653
2.77655680	-83.55147986
2.78388281	-78.58229645
2.79120882	-65.99947923
2.79853482	-61.66843806
2.80586083	-61.64858758
2.81318684	-60.93686229
2.82051285	-61.12101801
2.82783885	-61.67850090
2.83516486	-61.47895716
2.84249087	-61.88678997
2.84981688	-61.56296958
2.85714288	-60.67768737
2.86446889	-61.41158009
2.87179490	-62.05681078
2.87912090	-67.30730646
2.88644691	-79.35792075
2.89377292	-64.97693221
2.90109893	-61.53244390
2.90842493	-61.34811987
2.91575094	-61.00317124
2.92307695	-61.69876238
2.93040296	-62.67197640
2.93772896	-62.19801722
2.94505497	-62.40229337
2.95238098	-62.71805514
2.95970699	-65.13072611
2.96703299	-76.15894944
2.97435900	-93.10538738
2.98168501	-73.06418036
2.98901102	-67.31590011
2.99633702	-65.23824712
3.00366303	-67.96732254
3.01098904	-83.63883959
3.01831505	-78.36457815
3.02564105	-80.16610344
3.03296706	-65.59480099
3.04029307	-65.26163671
3.04761907	-79.53779965
3.05494508	-65.82898973
3.06227109	-64.37773407
3.06959710	-63.25044598
3.07692310	-63.19711406
3.08424911	-63.13160388
3.09157512	-61.73998282
3.09890113	-62.58877243
3.10622713	-63.38842709
3.11355314	-63.34369958
3.12087915	-63.01015121
3.12820516	-67.36291386
3.13553116	-96.55351750
3.14285717	-78.29791372
3.15018318	-65.18784764
3.15750919	-65.02035420
3.16483519	-74.55004319
3.17216120	-76.51198760
3.17948721	-68.72789912
3.18681322	-67.44150879
3.19413922	-65.03574130
3.20146523	-63.35095259
3.20879124	-64.67093123
3.21611724	-68.23601349
3.22344325	-64.20659697
3.23076926	-67.86974233
3.23809527	-69.64470315
3.24542127	-62.56433140
3.25274728	-62.48454898
3.26007329	-62.35066078
3.26739930	-62.85658494
3.27472530	-62.88695504
3.28205131	-62.85175268
3.28937732	-63.39887158
3.29670333	-63.68606815
3.30402933	-63.88655169
3.31135534	-64.06704214
3.31868135	-64.56966912
3.32600736	-69.97844027
3.33333336	-80.37991950
3.34065937	-75.29962686
3.34798538	-66.10273233
3.35531139	-64.62403749
3.36263739	-63.35272225
3.36996340	-63.75775194
3.37728941	-63.55965606
3.38461541	-63.93810664
3.39194142	-62.86395926
3.39926743	-61.95690076
3.40659344	-63.56556115
3.41391944	-63.54574580
3.42124545	-65.06477754
3.42857146	-65.14690417
3.43589747	-64.45388662
3.44322347	-65.82422122
3.45054948	-65.45837439
3.45787549	-66.00283664
3.46520150	-65.31125494
3.47252750	-64.93965700
3.47985351	-65.01845831
3.48717952	-64.79367966
3.49450553	-66.06101909
3.50183153	-66.38367295
3.50915754	-64.55056489
3.51648355	-66.61194768
3.52380956	-65.66633139
3.53113556	-67.12253225
3.53846157	-75.36421086
3.54578758	-71.47228537
3.55311358	-67.32449202
3.56043959	-67.19086060
3.56776560	-66.43353368
3.57509161	-66.18651839
3.58241761	-68.06575165
3.58974362	-67.08715511
3.59706963	-72.22194695
3.60439564	-82.82300411
3.61172164	-75.12176268
3.61904765	-70.88428353
3.62637366	-67.48773499
3.63369967	-69.30092714
3.64102567	-72.70773526
3.64835168	-77.62197993
3.65567769	-89.82094777
3.66300370	-94.35810726
3.67032970	-77.79855418
3.67765571	-71.20529403
3.68498172	-71.90993622
3.69230773	-76.40620852
3.69963373	-72.27620708
3.70695974	-67.59750825
3.71428575	-69.38248774
3.72161175	-67.63624251
3.72893776	-69.72342828
3.73626377	-68.34810296
3.74358978	-70.09088512
3.75091578	-68.93961667
3.75824179	-68.70019502
3.76556780	-69.17609933
3.77289381	-69.91942585
3.78021981	-71.56846849
3.78754582	-74.07834460
3.79487183	-74.30016370
3.80219784	-87.66574878
3.80952384	-82.53344190
3.81684985	-83.35840575
3.82417586	-83.23923374
3.83150187	-75.85124474
3.83882787	-72.87941445
3.84615388	-70.15581552
3.85347989	-71.37000411
3.86080590	-73.33369103
3.86813190	-73.41061301
3.87545791	-71.31679986
3.88278392	-72.10292648
3.89010992	-73.95131753
3.89743593	-72.10249820
3.90476194	-75.08754069
3.91208795	-71.68860832
3.91941395	-73.54445834
3.92673996	-75.94422360
3.93406597	-71.46579541
3.94139198	-72.81493826
3.94871798	-77.57742054
3.95604399	-93.36731285
3.96337000	-80.98914378
3.97069601	-86.30506623
3.97802201	-92.35834513
3.98534802	-94.93047950
3.99267403	-93.08296827
4.00000004	-86.04248156
4.00732604	-83.21955080
4.01465205	-77.42085894
4.02197806	-78.51886580
4.02930407	-76.22113351
4.03663007	-73.46772923
4.04395608	-79.27379751
4.05128209	-79.05300435
4.05860809	-80.73364366
4.06593410	-79.89035843
4.07326011	-78.34710220
4.08058612	-82.44447698
4.08791212	-81.81377544
4.09523813	-77.48628695
4.10256414	-77.13670434
4.10989015	-79.70119423
4.11721615	-78.06235142
4.12454216	-78.23101869
4.13186817	-78.09835438
4.13919418	-81.41144967
4.14652018	-80.94521435
4.15384619	-75.77219976
4.16117220	-83.47815453
4.16849821	-81.70717649
4.17582421	-87.70533305
4.18315022	-84.46961133
4.19047623	-85.16524404
4.19780224	-87.96576005
4.20512824	-79.12890923
4.21245425	-77.05069928
4.21978026	-84.37668236
4.22710626	-81.92510281
4.23443227	-79.88866777
4.24175828	-88.92184409
