# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -229.30000000 ps, Average over 300 waveforms. Timestamp: 2023-05-26T11:53:18
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-229.29999999	0.00000000
-229.26666666	-0.00000008
-229.23333332	-0.00000030
-229.19999999	-0.00000054
-229.16666666	-0.00000061
-229.13333333	-0.00000074
-229.09999999	-0.00000098
-229.06666666	-0.00000026
-229.03333333	0.00000046
-228.99999999	0.00000156
-228.96666666	0.00000264
-228.93333333	0.00000507
-228.89999999	0.00000480
-228.86666666	0.00000979
-228.83333333	0.00000743
-228.80000000	0.00001302
-228.76666666	0.00001508
-228.73333333	0.00001750
-228.70000000	0.00001710
-228.66666666	0.00001802
-228.63333333	0.00002102
-228.60000000	0.00001419
-228.56666666	0.00001589
-228.53333333	0.00000926
-228.50000000	0.00000653
-228.46666666	-0.00001165
-228.43333333	-0.00002518
-228.40000000	-0.00003198
-228.36666667	-0.00005422
-228.33333333	-0.00004985
-228.30000000	-0.00008102
-228.26666667	-0.00009329
-228.23333333	-0.00011967
-228.20000000	-0.00015573
-228.16666667	-0.00020444
-228.13333333	-0.00022850
-228.10000000	-0.00027017
-228.06666667	-0.00029592
-228.03333334	-0.00034148
-228.00000000	-0.00042114
-227.96666667	-0.00045499
-227.93333334	-0.00050351
-227.90000000	-0.00054854
-227.86666667	-0.00060616
-227.83333334	-0.00064625
-227.80000000	-0.00072258
-227.76666667	-0.00078035
-227.73333334	-0.00083167
-227.70000001	-0.00090731
-227.66666667	-0.00096741
-227.63333334	-0.00101821
-227.60000001	-0.00109238
-227.56666667	-0.00114326
-227.53333334	-0.00118560
-227.50000001	-0.00120375
-227.46666667	-0.00128204
-227.43333334	-0.00136824
-227.40000001	-0.00140836
-227.36666667	-0.00137209
-227.33333334	-0.00144815
-227.30000001	-0.00151284
-227.26666668	-0.00155028
-227.23333334	-0.00160088
-227.20000001	-0.00162992
-227.16666668	-0.00160983
-227.13333334	-0.00166953
-227.10000001	-0.00167192
-227.06666668	-0.00161760
-227.03333334	-0.00166911
-227.00000001	-0.00170542
-226.96666668	-0.00180654
-226.93333335	-0.00172774
-226.90000001	-0.00169481
-226.86666668	-0.00162937
-226.83333335	-0.00167335
-226.80000001	-0.00161759
-226.76666668	-0.00164209
-226.73333335	-0.00160023
-226.70000001	-0.00159439
-226.66666668	-0.00157397
-226.63333335	-0.00149202
-226.60000002	-0.00153954
-226.56666668	-0.00153601
-226.53333335	-0.00152307
-226.50000002	-0.00148242
-226.46666668	-0.00146812
-226.43333335	-0.00141396
-226.40000002	-0.00129430
-226.36666668	-0.00131114
-226.33333335	-0.00127067
-226.30000002	-0.00121023
-226.26666668	-0.00124689
-226.23333335	-0.00115576
-226.20000002	-0.00114947
-226.16666669	-0.00124830
-226.13333335	-0.00109260
-226.10000002	-0.00101107
-226.06666669	-0.00103194
-226.03333335	-0.00094209
-226.00000002	-0.00092297
-225.96666669	-0.00089112
-225.93333335	-0.00088533
-225.90000002	-0.00082096
-225.86666669	-0.00081839
-225.83333336	-0.00062530
-225.80000002	-0.00060480
-225.76666669	-0.00061908
-225.73333336	-0.00051919
-225.70000002	-0.00058701
-225.66666669	-0.00036761
-225.63333336	-0.00032667
-225.60000002	-0.00032214
-225.56666669	-0.00025971
-225.53333336	-0.00020144
-225.50000003	-0.00012828
-225.46666669	-0.00008208
-225.43333336	-0.00002038
-225.40000003	0.00019438
-225.36666669	0.00005442
-225.33333336	0.00021460
-225.30000003	0.00004852
-225.26666669	0.00026094
-225.23333336	0.00012241
-225.20000003	0.00000843
-225.16666669	0.00029240
-225.13333336	0.00026274
-225.10000003	0.00030363
-225.06666670	0.00022903
-225.03333336	0.00027035
-225.00000003	0.00031585
-224.96666670	0.00031286
-224.93333336	0.00019578
-224.90000003	0.00026568
-224.86666670	0.00011304
-224.83333336	0.00014569
-224.80000003	0.00010488
-224.76666670	0.00002889
-224.73333337	0.00001802
-224.70000003	-0.00003690
-224.66666670	-0.00009736
-224.63333337	-0.00004093
-224.60000003	-0.00025768
-224.56666670	-0.00024908
-224.53333337	-0.00038644
-224.50000003	-0.00039619
-224.46666670	-0.00048989
-224.43333337	-0.00043299
-224.40000004	-0.00060157
-224.36666670	-0.00046951
-224.33333337	-0.00066933
-224.30000004	-0.00053892
-224.26666670	-0.00043504
-224.23333337	-0.00062140
-224.20000004	-0.00062642
-224.16666670	-0.00056724
-224.13333337	-0.00086042
-224.10000004	-0.00078706
-224.06666670	-0.00056035
-224.03333337	-0.00062166
-224.00000004	-0.00059910
-223.96666671	-0.00067044
-223.93333337	-0.00040774
-223.90000004	-0.00035796
-223.86666671	-0.00050250
-223.83333337	-0.00039718
-223.80000004	-0.00048107
-223.76666671	-0.00036752
-223.73333337	-0.00037652
-223.70000004	-0.00028623
-223.66666671	-0.00011912
-223.63333338	-0.00006761
-223.60000004	-0.00008646
-223.56666671	-0.00002799
-223.53333338	0.00008207
-223.50000004	0.00018494
-223.46666671	0.00002838
-223.43333338	0.00013600
-223.40000004	0.00025608
-223.36666671	0.00025357
