# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -229.30000000 ps, Average over 300 waveforms. Timestamp: 2023-05-26T11:53:18
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-21.49110728
0.00732601	-32.88051593
0.01465201	-25.36455064
0.02197802	-26.10939609
0.02930403	-32.39391276
0.03663004	-31.54382917
0.04395604	-19.86994292
0.05128205	-18.10119135
0.05860806	-28.74485033
0.06593407	-28.24150460
0.07326007	-15.22790867
0.08058608	-14.75141344
0.08791209	-20.60153684
0.09523810	-11.85381968
0.10256410	-11.76729474
0.10989011	-18.76944335
0.11721612	-8.93970048
0.12454213	-9.35526756
0.13186813	-9.05408985
0.13919414	-10.85820156
0.14652015	-7.26984121
0.15384616	-7.30192833
0.16117216	-7.98254393
0.16849817	-5.79496247
0.17582418	-4.82202733
0.18315018	-5.72666979
0.19047619	-6.36959192
0.19780220	-3.84131895
0.20512821	-3.50563989
0.21245421	-5.49322994
0.21978022	-4.49146988
0.22710623	-1.97853411
0.23443224	-2.12400490
0.24175824	-4.75099187
0.24908425	-1.84649721
0.25641026	-1.01148321
0.26373627	-2.38437541
0.27106227	-2.76268160
0.27838828	-0.38056370
0.28571429	-1.68185999
0.29304030	-1.82652804
0.30036630	-0.84135413
0.30769231	-0.69788917
0.31501832	-1.38759111
0.32234433	-1.04839036
0.32967033	-0.26839344
0.33699634	-0.45796285
0.34432235	-0.82570268
0.35164835	-0.18036091
0.35897436	0.21494004
0.36630037	-0.49758420
0.37362638	-0.05144798
0.38095238	0.18895274
0.38827839	0.31773781
0.39560440	0.13786878
0.40293041	0.39307386
0.41025641	0.27340224
0.41758242	0.21132143
0.42490843	0.18516020
0.43223444	-0.01443220
0.43956044	-0.23215395
0.44688645	-0.05534324
0.45421246	0.11889910
0.46153847	-0.29372249
0.46886447	-0.03233565
0.47619048	-0.27397852
0.48351649	-0.18509539
0.49084250	-0.32394014
0.49816850	-0.16343387
0.50549451	-0.32998396
0.51282052	-0.42647800
0.52014652	-0.16267997
0.52747253	-0.90258720
0.53479854	-0.70122990
0.54212455	-0.65066694
0.54945055	-1.75258560
0.55677656	-5.10514316
0.56410257	-2.74949771
0.57142858	-2.09380152
0.57875458	-1.53220831
0.58608059	-2.44974310
0.59340660	-2.18122070
0.60073261	-1.96120132
0.60805861	-2.91589719
0.61538462	-2.41995338
0.62271063	-2.46331409
0.63003664	-2.92876470
0.63736264	-2.45965843
0.64468865	-2.80721394
0.65201466	-2.86239636
0.65934067	-2.61851684
0.66666667	-3.27046572
0.67399268	-2.99542861
0.68131869	-3.24641484
0.68864469	-3.95464187
0.69597070	-3.46811123
0.70329671	-4.19637112
0.71062272	-4.76281592
0.71794872	-4.21456320
0.72527473	-5.68852769
0.73260074	-5.11043348
0.73992675	-5.75654036
0.74725275	-6.99247573
0.75457876	-8.21546176
0.76190477	-6.67874794
0.76923078	-6.33715696
0.77655678	-6.21456345
0.78388279	-6.83829850
0.79120880	-6.42630044
0.79853481	-6.93817415
0.80586081	-7.18041882
0.81318682	-7.34037598
0.82051283	-8.00088004
0.82783884	-7.80041362
0.83516484	-8.76422407
0.84249085	-8.44498236
0.84981686	-9.13893415
0.85714286	-9.31124737
0.86446887	-9.25001898
0.87179488	-9.98048762
0.87912089	-9.42677945
0.88644689	-10.18008498
0.89377290	-9.85625420
0.90109891	-9.83812213
0.90842492	-10.32055559
0.91575092	-10.14045998
0.92307693	-10.56816101
0.93040294	-10.79919715
0.93772895	-10.67330207
0.94505495	-11.34015972
0.95238096	-11.28095255
0.95970697	-11.77441452
0.96703298	-12.24955292
0.97435898	-12.58695252
0.98168499	-12.99713805
0.98901100	-15.24746424
0.99633701	-13.39771198
1.00366301	-13.52643582
1.01098902	-13.47547073
1.01831503	-13.17069407
1.02564103	-13.95069511
1.03296704	-13.35105993
1.04029305	-13.73735046
1.04761906	-14.16590475
1.05494506	-13.63658249
1.06227107	-14.73176760
1.06959708	-14.50082157
1.07692309	-14.91210330
1.08424909	-16.29244816
1.09157510	-17.62821984
1.09890111	-40.09074018
1.10622712	-19.00470272
1.11355312	-20.73232821
1.12087913	-18.61034345
1.12820514	-16.46728361
1.13553115	-17.90825197
1.14285715	-16.99244040
1.15018316	-18.68461150
1.15750917	-22.32071170
1.16483518	-35.85298517
1.17216118	-20.11307684
1.17948719	-17.97674865
1.18681320	-17.78313894
1.19413920	-18.48803366
1.20146521	-18.39348111
1.20879122	-24.04252499
1.21611723	-19.60478490
1.22344323	-20.26075748
1.23076924	-23.41014571
1.23809525	-19.99968014
1.24542126	-20.14626994
1.25274726	-19.49934439
1.26007327	-19.89543785
1.26739928	-19.54698947
1.27472529	-19.93570109
1.28205129	-19.90251828
1.28937730	-20.03897289
1.29670331	-20.37974100
1.30402932	-19.96425987
1.31135532	-20.74602144
1.31868133	-20.59924589
1.32600734	-21.56906867
1.33333335	-21.46959112
1.34065935	-21.78099431
1.34798536	-22.25686029
1.35531137	-22.04229839
1.36263737	-22.63594679
1.36996338	-22.46028968
1.37728939	-22.81588043
1.38461540	-23.25610673
1.39194140	-23.02963809
1.39926741	-23.80592588
1.40659342	-26.35600261
1.41391943	-35.90880810
1.42124543	-25.00645798
1.42857144	-23.65662655
1.43589745	-24.61349448
1.44322346	-23.66315801
1.45054946	-24.98340088
1.45787547	-24.57442754
1.46520148	-25.07255242
1.47252749	-25.74665122
1.47985349	-25.13734170
1.48717950	-26.06029637
1.49450551	-25.91864856
1.50183152	-26.04698941
1.50915752	-26.59058231
1.51648353	-25.84630304
1.52380954	-27.09021505
1.53113555	-26.27381038
1.53846155	-27.28511374
1.54578756	-27.30438727
1.55311357	-27.03571530
1.56043957	-27.90915501
1.56776558	-27.53492902
1.57509159	-28.21845297
1.58241760	-28.56599242
1.58974360	-28.90915288
1.59706961	-30.01309004
1.60439562	-35.39974928
1.61172163	-30.47024107
1.61904763	-30.29644027
1.62637364	-30.10366104
1.63369965	-30.90094671
1.64102566	-30.97057537
1.64835166	-32.03030992
1.65567767	-35.27294528
1.66300368	-52.97126129
1.67032969	-54.64073801
